tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
leukocyte,89.01181818181819,,94.93,,98.71,,,
mammary gland,85.41749999999999,97.025,,,97.11,,,
occipital lobe,87.02,95.17,,,95.87666666666667,,,
olfactory segment of nasal mucosa,91.87,,,,97.76,96.99,,
oviduct epithelium,93.88,,96.58,,98.67666666666666,,,
placenta,89.605,95.69,,,97.1025,,,
pons,84.87,,,,97.0,,,92.755
primary visual cortex,,,,,95.39888888888889,95.65,93.015,
renal medulla,91.75999999999999,93.52,,,97.57666666666667,,,
saliva-secreting gland,88.60499999999999,92.54,,,97.01599999999999,,,
spinal cord,,93.12,90.86125,,96.408,,,
stomach,,95.19,,,96.99416666666667,,,89.4
subcutaneous adipose tissue,86.56272727272727,,,,95.94947368421053,,,94.08333333333333
superior frontal gyrus,,,,,96.348,95.04,94.06666666666666,
temporal lobe,,95.26,,,96.30875,,86.72,
thyroid gland,92.485,95.34,,,96.58705882352942,,,
tongue,89.83999999999999,91.77,,,98.43,,,
triceps brachii,85.18,,86.83500000000001,,92.58,,,
urinary bladder,89.14500000000001,92.36,,,97.27875,,,
Brodmann (1909) area 10,,,,,93.45,,92.33,
adenohypophysis,92.93,,,,97.30166666666666,,,
adrenal cortex,,94.675,,,96.84666666666668,,,
amygdala,,,,,95.9276923076923,,,92.62
aorta,89.11500000000001,,,,95.935,,,
brainstem,,,84.975,,,,,90.92999999999999
caput epididymis,91.55,,,,96.96666666666665,,,
cardiac atrium,87.955,,,,96.82666666666667,,,
cardiac ventricle,85.18,,,,95.54333333333334,,,
cartilage tissue,,94.38,,,95.82,,,
corpus callosum,,,,,95.27333333333333,,,91.85
corpus epididymis,92.93,,,,96.92666666666666,,,
diaphragm,88.39500000000001,,,,92.57,,,
dorsal plus ventral thalamus,,,,,95.68857142857144,,,94.085
epithelium of bronchus,,,95.945,,98.59928571428573,,,
esophagus,94.0,,,,97.72428571428573,,,
fibroblast,,,,,,94.96,92.71000000000001,
forebrain,,,,,98.13,,,93.91
gall bladder,88.535,,,,97.89,,,
gluteal muscle,82.06,,,,92.39,,,
gluteus medius,85.05,,90.29,,,,,
granulocyte,,79.74,,,98.31,,,
granulosa cell,89.02,,,,,,,96.94
hair follicle,,94.4,,,97.23333333333333,,,
heart right ventricle,,87.01,,,96.05333333333333,,,
large intestine,,97.04,,,97.39,,,
longissimus thoracis muscle,86.696,,,,,,,92.982
material anatomical entity,,,,,96.65,,,93.16
medulla oblongata,,,,,96.5657142857143,,,92.205
mesenteric lymph node,90.75,,,,,,,94.03
midbrain,89.67,,,,96.292,,,
monocyte,87.32,,,,99.2,,,
mucosa of urinary bladder,,96.63,,,96.66,,,
myometrium,91.95,,,,95.88727272727273,,,
nasal cavity mucosa,89.18,,,,97.74,,,
occipital cortex,,94.01,,,,,,92.17333333333333
olfactory bulb,,96.01,,,94.57,,,
omental fat pad,84.05,,,,97.02272727272727,,,
oocyte,68.99,,,,,,,85.94
pancreas,,91.99666666666667,,,95.38,,,
penis,,,,,99.08,,,95.38
prostate gland,90.82,,,,95.75333333333333,,,
right lobe of liver,,,,,93.06888888888889,,,91.33500000000001
semimembranosus muscle,85.01666666666667,,,,,,,92.205
small intestine,,95.78,,,97.92500000000001,,,
smooth muscle tissue,,87.42,,,95.3,,,
spermatid,52.67,,,,,66.81,,
spermatocyte,58.89,,,,,77.13,,
