Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSBTAG00000001163	MACROH2A2	olfactory segment of nasal mucosa	present	gold quality	74.77
ENSBTAG00000001163	MACROH2A2	digestive system secreted substance	present	gold quality	67.71
ENSBTAG00000001163	MACROH2A2	abomasum	present	gold quality	52.92
ENSBTAG00000001163	MACROH2A2	abomasum	present	gold quality	54.59
ENSBTAG00000001163	MACROH2A2	abomasum	present	gold quality	52.08
ENSBTAG00000001163	MACROH2A2	ruminant reticulum	present	gold quality	63.06
ENSBTAG00000001163	MACROH2A2	ruminant reticulum	present	gold quality	63.05
ENSBTAG00000001163	MACROH2A2	omasum	present	gold quality	69.65
ENSBTAG00000001163	MACROH2A2	omasum	present	gold quality	69.63
ENSBTAG00000001163	MACROH2A2	rumen	present	gold quality	67.93
ENSBTAG00000001163	MACROH2A2	rumen	present	gold quality	52.82
ENSBTAG00000001163	MACROH2A2	rumen	present	gold quality	72.39
ENSBTAG00000001163	MACROH2A2	rumen	present	gold quality	56.19
ENSBTAG00000001163	MACROH2A2	rumen	present	gold quality	65.85
ENSBTAG00000001163	MACROH2A2	surface of tongue	present	gold quality	61.18
ENSBTAG00000001163	MACROH2A2	surface of tongue	present	gold quality	61.23
ENSBTAG00000001163	MACROH2A2	pigment epithelium of eye	present	gold quality	75.46
ENSBTAG00000001163	MACROH2A2	pigment epithelium of eye	present	gold quality	75.49
ENSBTAG00000001163	MACROH2A2	rumen epithelium	present	gold quality	50.77
ENSBTAG00000001163	MACROH2A2	rumen epithelium	present	gold quality	53.58
ENSBTAG00000001163	MACROH2A2	rumen epithelium	present	gold quality	56.35
ENSBTAG00000001163	MACROH2A2	rumen papilla	present	gold quality	63.78
ENSBTAG00000001163	MACROH2A2	rumen papilla	present	gold quality	60.84
ENSBTAG00000001163	MACROH2A2	rumen papilla	present	gold quality	63.8
ENSBTAG00000001163	MACROH2A2	spiral colon	present	gold quality	47.27
ENSBTAG00000001163	MACROH2A2	omental fat pad	present	gold quality	48.84
ENSBTAG00000001163	MACROH2A2	omental fat pad	present	gold quality	51.13
ENSBTAG00000001163	MACROH2A2	metanephros cortex	present	gold quality	55.41
ENSBTAG00000001163	MACROH2A2	ampulla of uterine tube	present	gold quality	89.19
ENSBTAG00000001163	MACROH2A2	ampulla of uterine tube	present	gold quality	94.53
ENSBTAG00000001163	MACROH2A2	retropharyngeal lymph node	present	gold quality	43.91
ENSBTAG00000001163	MACROH2A2	temporal cortex	present	gold quality	73.93
ENSBTAG00000001163	MACROH2A2	temporal cortex	present	gold quality	73.79
ENSBTAG00000001163	MACROH2A2	isthmus of fallopian tube	present	gold quality	81.26
ENSBTAG00000001163	MACROH2A2	isthmus of fallopian tube	present	gold quality	81.26
ENSBTAG00000001163	MACROH2A2	intramuscular adipose tissue	present	gold quality	47.77
ENSBTAG00000001163	MACROH2A2	intramuscular adipose tissue	present	gold quality	48.87
ENSBTAG00000001163	MACROH2A2	scapular muscle	present	gold quality	53.04
ENSBTAG00000001163	MACROH2A2	parenchyma of mammary gland	present	gold quality	74.37
ENSBTAG00000004428	H2AZ1	spermatocyte	present	gold quality	99.41
ENSBTAG00000004428	H2AZ1	spermatid	present	gold quality	98.86
ENSBTAG00000004428	H2AZ1	oocyte	present	gold quality	73.79
ENSBTAG00000004428	H2AZ1	granulosa cell	present	gold quality	95.89
ENSBTAG00000004428	H2AZ1	theca cell	present	gold quality	96.28
ENSBTAG00000004428	H2AZ1	monocyte	present	gold quality	91.24
ENSBTAG00000004428	H2AZ1	cumulus cell	present	gold quality	96.19
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	96.4
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	90.18
