gene_order	gene_number	tissue_order	tissue_letter	canonical_gene_name	ensembl_gene_id	hpa_gene_label	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM
7	7	23	W	H2AC12	ENSG00000274997	H2AC12	stomach	stomach	stomach	exact	False	0.2
7	7	24	X	H2AC12	ENSG00000274997	H2AC12	substantia nigra	substantia nigra	substantia nigra	exact	False	0.0
7	7	25	Y	H2AC12	ENSG00000274997	H2AC12	testis	testis	testis	exact	False	1.5
7	7	26	Z	H2AC12	ENSG00000274997	H2AC12	thyroid gland	thyroid gland	thyroid gland	exact	False	0.1
7	7	27	AA	H2AC12	ENSG00000274997	H2AC12	urinary bladder	urinary bladder	urinary bladder	exact	False	0.1
7	7	28	AB	H2AC12	ENSG00000274997	H2AC12	vagina	vagina	vagina	exact	False	0.2
7	7	29	AC	H2AC12	ENSG00000274997	H2AC12	mammary gland	breast	mammary gland	safe_synonym	True	0.3
7	7	30	AD	H2AC12	ENSG00000274997	H2AC12	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.0
7	7	31	AE	H2AC12	ENSG00000274997	H2AC12	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.1
7	7	32	AF	H2AC12	ENSG00000274997	H2AC12	myocardium	heart muscle	myocardium	safe_synonym	True	0.1
7	7	33	AG	H2AC12	ENSG00000274997	H2AC12	prostate gland	prostate	prostate gland	safe_synonym	True	0.1
7	7	34	AH	H2AC12	ENSG00000274997	H2AC12	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.1
7	7	35	AI	H2AC12	ENSG00000274997	H2AC12	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
8	8	1	A	H2AC13	ENSG00000196747	H2AC13	adipose tissue	adipose tissue	adipose tissue	exact	False	0.3
8	8	2	B	H2AC13	ENSG00000196747	H2AC13	adrenal gland	adrenal gland	adrenal gland	exact	False	0.1
8	8	3	C	H2AC13	ENSG00000196747	H2AC13	amygdala	amygdala	amygdala	exact	False	0.0
8	8	4	D	H2AC13	ENSG00000196747	H2AC13	cerebellum	cerebellum	cerebellum	exact	False	0.0
8	8	5	E	H2AC13	ENSG00000196747	H2AC13	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
8	8	6	F	H2AC13	ENSG00000196747	H2AC13	colon	colon	colon	exact	False	0.8
8	8	7	G	H2AC13	ENSG00000196747	H2AC13	endometrium	endometrium	endometrium	exact	False	0.0
8	8	8	H	H2AC13	ENSG00000196747	H2AC13	esophagus	esophagus	esophagus	exact	False	0.7
8	8	9	I	H2AC13	ENSG00000196747	H2AC13	fallopian tube	fallopian tube	fallopian tube	exact	False	0.0
8	8	10	J	H2AC13	ENSG00000196747	H2AC13	hypothalamus	hypothalamus	hypothalamus	exact	False	0.1
8	8	11	K	H2AC13	ENSG00000196747	H2AC13	kidney	kidney	kidney	exact	False	0.1
8	8	12	L	H2AC13	ENSG00000196747	H2AC13	liver	liver	liver	exact	False	0.2
8	8	13	M	H2AC13	ENSG00000196747	H2AC13	lung	lung	lung	exact	False	0.5
8	8	14	N	H2AC13	ENSG00000196747	H2AC13	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
8	8	15	O	H2AC13	ENSG00000196747	H2AC13	ovary	ovary	ovary	exact	False	0.1
8	8	16	P	H2AC13	ENSG00000196747	H2AC13	pancreas	pancreas	pancreas	exact	False	0.0
8	8	17	Q	H2AC13	ENSG00000196747	H2AC13	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0
8	8	18	R	H2AC13	ENSG00000196747	H2AC13	putamen	putamen	putamen	exact	False	0.0
8	8	19	S	H2AC13	ENSG00000196747	H2AC13	retina	retina	retina	exact	False	0.0
8	8	20	T	H2AC13	ENSG00000196747	H2AC13	small intestine	small intestine	small intestine	exact	False	0.5
8	8	21	U	H2AC13	ENSG00000196747	H2AC13	spinal cord	spinal cord	spinal cord	exact	False	0.8
8	8	22	V	H2AC13	ENSG00000196747	H2AC13	spleen	spleen	spleen	exact	False	1.1
8	8	23	W	H2AC13	ENSG00000196747	H2AC13	stomach	stomach	stomach	exact	False	0.2
8	8	24	X	H2AC13	ENSG00000196747	H2AC13	substantia nigra	substantia nigra	substantia nigra	exact	False	0.0
8	8	25	Y	H2AC13	ENSG00000196747	H2AC13	testis	testis	testis	exact	False	0.2
8	8	26	Z	H2AC13	ENSG00000196747	H2AC13	thyroid gland	thyroid gland	thyroid gland	exact	False	0.1
8	8	27	AA	H2AC13	ENSG00000196747	H2AC13	urinary bladder	urinary bladder	urinary bladder	exact	False	0.1
8	8	28	AB	H2AC13	ENSG00000196747	H2AC13	vagina	vagina	vagina	exact	False	0.4
8	8	29	AC	H2AC13	ENSG00000196747	H2AC13	mammary gland	breast	mammary gland	safe_synonym	True	0.0
8	8	30	AD	H2AC13	ENSG00000196747	H2AC13	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.1
8	8	31	AE	H2AC13	ENSG00000196747	H2AC13	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.3
8	8	32	AF	H2AC13	ENSG00000196747	H2AC13	myocardium	heart muscle	myocardium	safe_synonym	True	0.1
8	8	33	AG	H2AC13	ENSG00000196747	H2AC13	prostate gland	prostate	prostate gland	safe_synonym	True	0.2
8	8	34	AH	H2AC13	ENSG00000196747	H2AC13	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.1
8	8	35	AI	H2AC13	ENSG00000196747	H2AC13	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
9	9	1	A	H2AC14	ENSG00000276368	H2AC14	adipose tissue	adipose tissue	adipose tissue	exact	False	0.1
9	9	2	B	H2AC14	ENSG00000276368	H2AC14	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0
9	9	3	C	H2AC14	ENSG00000276368	H2AC14	amygdala	amygdala	amygdala	exact	False	0.0
9	9	4	D	H2AC14	ENSG00000276368	H2AC14	cerebellum	cerebellum	cerebellum	exact	False	0.0
9	9	5	E	H2AC14	ENSG00000276368	H2AC14	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
9	9	6	F	H2AC14	ENSG00000276368	H2AC14	colon	colon	colon	exact	False	0.2
9	9	7	G	H2AC14	ENSG00000276368	H2AC14	endometrium	endometrium	endometrium	exact	False	0.1
9	9	8	H	H2AC14	ENSG00000276368	H2AC14	esophagus	esophagus	esophagus	exact	False	0.4
9	9	9	I	H2AC14	ENSG00000276368	H2AC14	fallopian tube	fallopian tube	fallopian tube	exact	False	0.0
9	9	10	J	H2AC14	ENSG00000276368	H2AC14	hypothalamus	hypothalamus	hypothalamus	exact	False	0.0
9	9	11	K	H2AC14	ENSG00000276368	H2AC14	kidney	kidney	kidney	exact	False	0.0
9	9	12	L	H2AC14	ENSG00000276368	H2AC14	liver	liver	liver	exact	False	0.1
9	9	13	M	H2AC14	ENSG00000276368	H2AC14	lung	lung	lung	exact	False	0.1
9	9	14	N	H2AC14	ENSG00000276368	H2AC14	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
9	9	15	O	H2AC14	ENSG00000276368	H2AC14	ovary	ovary	ovary	exact	False	0.0
9	9	16	P	H2AC14	ENSG00000276368	H2AC14	pancreas	pancreas	pancreas	exact	False	0.0
9	9	17	Q	H2AC14	ENSG00000276368	H2AC14	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0
9	9	18	R	H2AC14	ENSG00000276368	H2AC14	putamen	putamen	putamen	exact	False	0.0
9	9	19	S	H2AC14	ENSG00000276368	H2AC14	retina	retina	retina	exact	False	0.0
9	9	20	T	H2AC14	ENSG00000276368	H2AC14	small intestine	small intestine	small intestine	exact	False	0.3
9	9	21	U	H2AC14	ENSG00000276368	H2AC14	spinal cord	spinal cord	spinal cord	exact	False	0.1
9	9	22	V	H2AC14	ENSG00000276368	H2AC14	spleen	spleen	spleen	exact	False	0.6
9	9	23	W	H2AC14	ENSG00000276368	H2AC14	stomach	stomach	stomach	exact	False	0.1
9	9	24	X	H2AC14	ENSG00000276368	H2AC14	substantia nigra	substantia nigra	substantia nigra	exact	False	0.0
9	9	25	Y	H2AC14	ENSG00000276368	H2AC14	testis	testis	testis	exact	False	0.1
9	9	26	Z	H2AC14	ENSG00000276368	H2AC14	thyroid gland	thyroid gland	thyroid gland	exact	False	0.0
9	9	27	AA	H2AC14	ENSG00000276368	H2AC14	urinary bladder	urinary bladder	urinary bladder	exact	False	0.0
9	9	28	AB	H2AC14	ENSG00000276368	H2AC14	vagina	vagina	vagina	exact	False	0.1
9	9	29	AC	H2AC14	ENSG00000276368	H2AC14	mammary gland	breast	mammary gland	safe_synonym	True	0.0
9	9	30	AD	H2AC14	ENSG00000276368	H2AC14	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.0
9	9	31	AE	H2AC14	ENSG00000276368	H2AC14	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.5
9	9	32	AF	H2AC14	ENSG00000276368	H2AC14	myocardium	heart muscle	myocardium	safe_synonym	True	0.0
9	9	33	AG	H2AC14	ENSG00000276368	H2AC14	prostate gland	prostate	prostate gland	safe_synonym	True	0.0
9	9	34	AH	H2AC14	ENSG00000276368	H2AC14	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.0
9	9	35	AI	H2AC14	ENSG00000276368	H2AC14	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
10	10	1	A	H2AC15	ENSG00000275221	H2AC15	adipose tissue	adipose tissue	adipose tissue	exact	False	0.3
10	10	2	B	H2AC15	ENSG00000275221	H2AC15	adrenal gland	adrenal gland	adrenal gland	exact	False	0.4
10	10	3	C	H2AC15	ENSG00000275221	H2AC15	amygdala	amygdala	amygdala	exact	False	0.3
10	10	4	D	H2AC15	ENSG00000275221	H2AC15	cerebellum	cerebellum	cerebellum	exact	False	1.2
10	10	5	E	H2AC15	ENSG00000275221	H2AC15	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.3
10	10	6	F	H2AC15	ENSG00000275221	H2AC15	colon	colon	colon	exact	False	0.4
10	10	7	G	H2AC15	ENSG00000275221	H2AC15	endometrium	endometrium	endometrium	exact	False	0.5
10	10	8	H	H2AC15	ENSG00000275221	H2AC15	esophagus	esophagus	esophagus	exact	False	0.3
10	10	9	I	H2AC15	ENSG00000275221	H2AC15	fallopian tube	fallopian tube	fallopian tube	exact	False	0.9
10	10	10	J	H2AC15	ENSG00000275221	H2AC15	hypothalamus	hypothalamus	hypothalamus	exact	False	0.4
10	10	11	K	H2AC15	ENSG00000275221	H2AC15	kidney	kidney	kidney	exact	False	0.9
10	10	12	L	H2AC15	ENSG00000275221	H2AC15	liver	liver	liver	exact	False	0.6
10	10	13	M	H2AC15	ENSG00000275221	H2AC15	lung	lung	lung	exact	False	0.7
10	10	14	N	H2AC15	ENSG00000275221	H2AC15	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.8
10	10	15	O	H2AC15	ENSG00000275221	H2AC15	ovary	ovary	ovary	exact	False	1.9
10	10	16	P	H2AC15	ENSG00000275221	H2AC15	pancreas	pancreas	pancreas	exact	False	0.6
10	10	17	Q	H2AC15	ENSG00000275221	H2AC15	pituitary gland	pituitary gland	pituitary gland	exact	False	1.3
10	10	18	R	H2AC15	ENSG00000275221	H2AC15	putamen	putamen	putamen	exact	False	0.3
10	10	19	S	H2AC15	ENSG00000275221	H2AC15	retina	retina	retina	exact	False	2.4
10	10	20	T	H2AC15	ENSG00000275221	H2AC15	small intestine	small intestine	small intestine	exact	False	0.6
10	10	21	U	H2AC15	ENSG00000275221	H2AC15	spinal cord	spinal cord	spinal cord	exact	False	1.1
10	10	22	V	H2AC15	ENSG00000275221	H2AC15	spleen	spleen	spleen	exact	False	0.8
10	10	23	W	H2AC15	ENSG00000275221	H2AC15	stomach	stomach	stomach	exact	False	0.4
10	10	24	X	H2AC15	ENSG00000275221	H2AC15	substantia nigra	substantia nigra	substantia nigra	exact	False	0.4
10	10	25	Y	H2AC15	ENSG00000275221	H2AC15	testis	testis	testis	exact	False	2.5
10	10	26	Z	H2AC15	ENSG00000275221	H2AC15	thyroid gland	thyroid gland	thyroid gland	exact	False	1.1
10	10	27	AA	H2AC15	ENSG00000275221	H2AC15	urinary bladder	urinary bladder	urinary bladder	exact	False	0.4
10	10	28	AB	H2AC15	ENSG00000275221	H2AC15	vagina	vagina	vagina	exact	False	0.7
10	10	29	AC	H2AC15	ENSG00000275221	H2AC15	mammary gland	breast	mammary gland	safe_synonym	True	0.3
10	10	30	AD	H2AC15	ENSG00000275221	H2AC15	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.4
10	10	31	AE	H2AC15	ENSG00000275221	H2AC15	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.9
10	10	32	AF	H2AC15	ENSG00000275221	H2AC15	myocardium	heart muscle	myocardium	safe_synonym	True	1.1
10	10	33	AG	H2AC15	ENSG00000275221	H2AC15	prostate gland	prostate	prostate gland	safe_synonym	True	1.1
10	10	34	AH	H2AC15	ENSG00000275221	H2AC15	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.4
10	10	35	AI	H2AC15	ENSG00000275221	H2AC15	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.8
11	11	1	A	H2AC16	ENSG00000276903	H2AC16	adipose tissue	adipose tissue	adipose tissue	exact	False	0.1
11	11	2	B	H2AC16	ENSG00000276903	H2AC16	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0
11	11	3	C	H2AC16	ENSG00000276903	H2AC16	amygdala	amygdala	amygdala	exact	False	0.1
11	11	4	D	H2AC16	ENSG00000276903	H2AC16	cerebellum	cerebellum	cerebellum	exact	False	0.0
11	11	5	E	H2AC16	ENSG00000276903	H2AC16	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
11	11	6	F	H2AC16	ENSG00000276903	H2AC16	colon	colon	colon	exact	False	0.2
