gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,omental fat pad,49.985,1.6192745289171933,2,present_gold,MACROH2A2:VGNC:55987,variant,49.985,49.985
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,oocyte,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ovary,82.1625,5.958956144605641,4,present_gold,MACROH2A2:VGNC:55987,variant,82.1625,82.1625
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,oviduct epithelium,79.51,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,79.51,79.51
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,parenchyma of mammary gland,74.37,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,74.37,74.37
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,pharyngeal tonsil,45.7,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,45.7,45.7
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,pigment epithelium of eye,75.475,0.0212132034355972,2,present_gold,MACROH2A2:VGNC:55987,variant,75.475,75.475
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,pituitary gland,79.95166666666667,3.857929064493888,6,present_gold,MACROH2A2:VGNC:55987,variant,79.95166666666667,79.95166666666667
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,placenta,47.53,1.216223663640861,2,present_gold,MACROH2A2:VGNC:55987,variant,47.53,47.53
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,pons,67.185,4.43355951803965,2,present_gold,MACROH2A2:VGNC:55987,variant,67.185,67.185
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,prefrontal cortex,65.47,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,65.47,65.47
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,prostate gland,68.23,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,68.23,68.23
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,rectus femoris,53.25,0.0141421356237281,2,present_gold,MACROH2A2:VGNC:55987,variant,53.25,53.25
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,renal medulla,56.875,0.8273149339882618,2,present_gold,MACROH2A2:VGNC:55987,variant,56.875,56.875
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,retina,77.36,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,77.36,77.36
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,retropharyngeal lymph node,43.91,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,43.91,43.91
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,rumen,63.036,8.224985106369495,5,present_gold,MACROH2A2:VGNC:55987,variant,63.036,63.036
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,rumen epithelium,53.56666666666666,2.790023894760281,3,present_gold,MACROH2A2:VGNC:55987,variant,53.56666666666666,53.56666666666666
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,rumen papilla,62.80666666666667,1.7032126506497434,3,present_gold,MACROH2A2:VGNC:55987,variant,62.80666666666667,62.80666666666667
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ruminant reticulum,63.055,0.007071067811869,2,present_gold,MACROH2A2:VGNC:55987,variant,63.055,63.055
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,saliva-secreting gland,68.56,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,68.56,68.56
