Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSSSCG00000014307	MACROH2A1	kidney	present	gold quality	95.72
ENSSSCG00000014307	MACROH2A1	duodenum	present	gold quality	93.43
ENSSSCG00000014307	MACROH2A1	duodenum	present	gold quality	92.83
ENSSSCG00000014307	MACROH2A1	ileum	present	gold quality	93.55
ENSSSCG00000014307	MACROH2A1	ileum	present	gold quality	93.64
ENSSSCG00000014307	MACROH2A1	subcutaneous adipose tissue	present	gold quality	94.22
ENSSSCG00000014307	MACROH2A1	subcutaneous adipose tissue	present	gold quality	93.65
ENSSSCG00000014307	MACROH2A1	subcutaneous adipose tissue	present	gold quality	94.38
ENSSSCG00000014307	MACROH2A1	brainstem	present	gold quality	88.36
ENSSSCG00000014307	MACROH2A1	brainstem	present	gold quality	92.97
ENSSSCG00000014307	MACROH2A1	brainstem	present	gold quality	91.46
ENSSSCG00000014307	MACROH2A1	corpus callosum	present	gold quality	93.19
ENSSSCG00000014307	MACROH2A1	corpus callosum	present	gold quality	90.51
ENSSSCG00000014307	MACROH2A1	tonsil	present	gold quality	95.05
ENSSSCG00000014307	MACROH2A1	muscle tissue	present	gold quality	93.15
ENSSSCG00000014307	MACROH2A1	muscle tissue	present	gold quality	93.7
ENSSSCG00000014307	MACROH2A1	hippocampal formation	present	gold quality	91.04
ENSSSCG00000014307	MACROH2A1	hippocampal formation	present	gold quality	91.84
ENSSSCG00000014307	MACROH2A1	mesenteric lymph node	present	gold quality	93.98
ENSSSCG00000014307	MACROH2A1	mesenteric lymph node	present	gold quality	94.08
ENSSSCG00000014307	MACROH2A1	omentum	present	gold quality	89.15
ENSSSCG00000014307	MACROH2A1	omentum	present	gold quality	89.13
ENSSSCG00000014307	MACROH2A1	endocardial endothelium	present	gold quality	92.51
ENSSSCG00000014307	MACROH2A1	forelimb bud	present	gold quality	98.67
ENSSSCG00000014307	MACROH2A1	hindlimb bud	present	gold quality	98.74
ENSSSCG00000014307	MACROH2A1	metanephros cortex	present	gold quality	92.24
ENSSSCG00000014307	MACROH2A1	metanephros cortex	present	gold quality	92.25
ENSSSCG00000014307	MACROH2A1	longissimus lumborum muscle	present	gold quality	91.17
ENSSSCG00000014307	MACROH2A1	occipital cortex	present	gold quality	94.1
ENSSSCG00000014307	MACROH2A1	occipital cortex	present	gold quality	92.59
ENSSSCG00000014307	MACROH2A1	occipital cortex	present	gold quality	89.83
ENSSSCG00000016738	H2AZ2	oocyte	present	gold quality	84.95
ENSSSCG00000016738	H2AZ2	granulosa cell	present	gold quality	97.44
ENSSSCG00000016738	H2AZ2	pituitary gland	present	gold quality	93.01
ENSSSCG00000016738	H2AZ2	pituitary gland	present	gold quality	87.33
ENSSSCG00000016738	H2AZ2	lymph node	present	gold quality	97.23
ENSSSCG00000016738	H2AZ2	adult mammalian kidney	present	gold quality	97.07
ENSSSCG00000016738	H2AZ2	adult mammalian kidney	present	gold quality	95.32
ENSSSCG00000016738	H2AZ2	adult mammalian kidney	present	gold quality	95.55
ENSSSCG00000016738	H2AZ2	adult mammalian kidney	present	gold quality	88.79
ENSSSCG00000016738	H2AZ2	blood	present	gold quality	96.67
ENSSSCG00000016738	H2AZ2	blood	present	gold quality	96.42
ENSSSCG00000016738	H2AZ2	blood	present	gold quality	96.8
ENSSSCG00000016738	H2AZ2	prefrontal cortex	present	gold quality	83.66
ENSSSCG00000016738	H2AZ2	material anatomical entity	present	gold quality	96.69
ENSSSCG00000016738	H2AZ2	material anatomical entity	present	gold quality	93.4
ENSSSCG00000016738	H2AZ2	testis	present	gold quality	90.28
ENSSSCG00000016738	H2AZ2	testis	present	gold quality	90.03
ENSSSCG00000016738	H2AZ2	testis	present	gold quality	81.03
ENSSSCG00000016738	H2AZ2	stomach	present	gold quality	95.15
ENSSSCG00000016738	H2AZ2	stomach	present	gold quality	94.74
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	93.68
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	95.58
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	94.91
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	77.32
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	93.48
ENSSSCG00000016738	H2AZ2	heart	present	gold quality	94.52
ENSSSCG00000016738	H2AZ2	cerebral cortex	present	gold quality	85.79
ENSSSCG00000016738	H2AZ2	pons	present	gold quality	85.42
ENSSSCG00000016738	H2AZ2	pons	present	gold quality	80.09
ENSSSCG00000016738	H2AZ2	penis	present	gold quality	94.07
ENSSSCG00000016738	H2AZ2	ovary	present	gold quality	91.88
ENSSSCG00000016738	H2AZ2	ovary	present	gold quality	88.75
ENSSSCG00000016738	H2AZ2	ovary	present	gold quality	86.88
ENSSSCG00000016738	H2AZ2	uterus	present	gold quality	96.76
ENSSSCG00000016738	H2AZ2	uterus	present	gold quality	98.16
ENSSSCG00000016738	H2AZ2	uterus	present	gold quality	93.08
ENSSSCG00000016738	H2AZ2	adipose tissue	present	gold quality	94.69
ENSSSCG00000016738	H2AZ2	adipose tissue	present	gold quality	84.9
ENSSSCG00000016738	H2AZ2	right lobe of liver	present	gold quality	88.25
ENSSSCG00000016738	H2AZ2	right lobe of liver	present	gold quality	87.99
ENSSSCG00000016738	H2AZ2	skeletal muscle tissue	present	gold quality	96.17
ENSSSCG00000016738	H2AZ2	skeletal muscle tissue	present	gold quality	96.79
ENSSSCG00000016738	H2AZ2	caecum	present	gold quality	95.37
ENSSSCG00000016738	H2AZ2	caecum	present	gold quality	94.98
ENSSSCG00000016738	H2AZ2	colon	present	gold quality	95.21
ENSSSCG00000016738	H2AZ2	colon	present	gold quality	95.43
ENSSSCG00000016738	H2AZ2	psoas major muscle	present	gold quality	96.13
ENSSSCG00000016738	H2AZ2	psoas major muscle	present	gold quality	96.1
ENSSSCG00000016738	H2AZ2	epididymis	present	gold quality	93.73
ENSSSCG00000016738	H2AZ2	semimembranosus muscle	present	gold quality	97.32
ENSSSCG00000016738	H2AZ2	semimembranosus muscle	present	gold quality	97.05
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	96.94
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	97.57
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	93.99
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	96.58
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	93.42
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	95.89
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	95.49
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	96.08
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	95.89
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	95.97
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	96.06
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	90.87
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	97.24
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	95.4
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	97.02
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	96.93
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	94.64
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	97.48
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	97.14
ENSSSCG00000016738	H2AZ2	longissimus thoracis muscle	present	gold quality	94.49
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	85.11
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	87.17
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	87.52
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	79.72
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	84.92
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	84.41
ENSSSCG00000016738	H2AZ2	frontal cortex	present	gold quality	76.07
ENSSSCG00000016738	H2AZ2	amygdala	present	gold quality	84.1
ENSSSCG00000016738	H2AZ2	amygdala	present	gold quality	84.2
ENSSSCG00000016738	H2AZ2	forebrain	present	gold quality	91.3
ENSSSCG00000016738	H2AZ2	medulla oblongata	present	gold quality	79.68
ENSSSCG00000016738	H2AZ2	medulla oblongata	present	gold quality	79.51
ENSSSCG00000016738	H2AZ2	dorsal plus ventral thalamus	present	gold quality	84.71
ENSSSCG00000016738	H2AZ2	dorsal plus ventral thalamus	present	gold quality	79.37
ENSSSCG00000016738	H2AZ2	hypothalamus	present	gold quality	90.52
ENSSSCG00000016738	H2AZ2	hypothalamus	present	gold quality	94.01
ENSSSCG00000016738	H2AZ2	Ammon's horn	present	gold quality	90.65
