species	species_slug	gene_id	gene_name	anatomical_entity_name	expression	call_quality	expression_score	affymetrix_expression_score	est_expression_score	in_situ_hybridization_expression_score	rna_seq_expression_score	single_cell_rna_seq_expression_score	active_sources	active_source_count	source_class	heatmap_qualifying	overall_equals_rnaseq_score
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	80.41	81.27			79.98		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	81.30	75.97			83.21		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	83.11	81.02			83.89		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	intestine	present	gold quality	88.15				88.15		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	intestine	present	gold quality	91.90				91.90		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	intestine	present	gold quality	90.14				90.14		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	intestine	present	gold quality	82.05	81.93			82.07		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	79.18	79.18					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	80.93	80.93					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	79.97	79.97					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	79.51	79.51					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	77.73	77.73					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	oral cavity	present	gold quality	78.81	78.81					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	amniotic fluid	present	gold quality	77.81	77.81					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	amniotic fluid	present	silver quality	75.81	75.81					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	71.93	71.82			71.94		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	73.03	71.09			74.44		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	70.80	71.27			70.73		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	72.96	70.67			73.84		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	62.28	62.28					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	74.09	66.95			75.44		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	62.09	62.09					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	73.06	67.46			74.55		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	absent	silver quality	60.73	60.73					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	72.59	67.74			73.85		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	silver quality	53.63	53.63					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	73.94	67.61			74.99		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	62.52	62.52					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	72.83	68.67			73.71		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	62.34	62.34					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	73.45	67.17			74.84		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	78.74				78.74		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	gold quality	73.99				73.99		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	silver quality	69.31	69.31					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	silver quality	74.01	74.01					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	blood	present	silver quality	75.55	75.55					Affymetrix	1	non_rna_only	no	not_applicable
