Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSFCAG00000039458	H2AZ1	brain	95.57	3.775950211536156	2	present_gold	95.57	3.775950211536156	2	2	2
ENSFCAG00000039458	H2AZ1	embryo	97.84	0.0	1	present_gold	97.84	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	embryonic head	98.47	0.0	1	present_gold	98.47	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	eyeball of camera-type eye	98.23	0.0	1	present_gold	98.23	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	liver	84.645	1.788980156401966	2	present_gold	84.645	1.788980156401966	2	2	2
ENSFCAG00000039458	H2AZ1	prefrontal cortex	95.38	0.0	1	present_gold	95.38	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	spleen	96.59	0.0	1	present_gold	96.59	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	testis	98.51333333333334	0.2571640202931481	3	present_gold	98.51333333333334	0.2571640202931481	3	3	3
ENSFCAG00000039458	H2AZ1	tip of external ear	91.74	0.0	1	present_gold	91.74	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	uterus	93.4	0.0	1	present_gold	93.4	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	zone of skin	94.45	0.0	1	present_gold	94.45	0.0	1	1	1
ENSFCAG00000040278		adult mammalian kidney	51.11	10.380327547818517	2	present_gold	51.11	10.380327547818517	2	2	2
ENSFCAG00000040278		brain	93.995	1.5344217151748092	2	present_gold	93.995	1.5344217151748092	2	2	2
ENSFCAG00000040278		embryo	46.89	0.0	1	present_gold	46.89	0.0	1	1	1
ENSFCAG00000040278		embryonic head	47.35	0.0	1	present_gold	47.35	0.0	1	1	1
ENSFCAG00000040278		eyeball of camera-type eye	30.37	0.0	1	present_gold	30.37	0.0	1	1	1
ENSFCAG00000040278		liver	82.265	20.385888501608175	2	present_gold	82.265	20.385888501608175	2	2	2
ENSFCAG00000040278		prefrontal cortex	12.69	0.0	1	present_gold	12.69	0.0	1	1	1
ENSFCAG00000040278		spleen	50.15	0.0	1	present_gold	50.15	0.0	1	1	1
ENSFCAG00000040278		testis	79.07000000000001	15.812896635341675	3	present_gold	79.07000000000001	15.812896635341675	3	3	3
ENSFCAG00000040278		tip of external ear	55.92	0.0	1	present_gold	55.92	0.0	1	1	1
ENSFCAG00000040278		uterus	32.33	0.0	1	present_gold	32.33	0.0	1	1	1
ENSFCAG00000040278		zone of skin	33.5	0.0	1	present_gold	33.5	0.0	1	1	1
ENSFCAG00000040930	LOC101084707	adult mammalian kidney	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000040930	LOC101084707	brain	76.52	0.0	1	present_gold	76.52	0.0	1	2	1
ENSFCAG00000040930	LOC101084707	embryo	20.14	0.0	1	present_gold	20.14	0.0	1	1	1
ENSFCAG00000040930	LOC101084707	embryonic head	36.19	0.0	1	present_gold	36.19	0.0	1	1	1
ENSFCAG00000040930	LOC101084707	eyeball of camera-type eye	26.81	0.0	1	present_gold	26.81	0.0	1	1	1
ENSFCAG00000040930	LOC101084707	liver	23.13	0.0	1	present_gold	23.13	0.0	1	2	1
ENSFCAG00000040930	LOC101084707	prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000040930	LOC101084707	spleen	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000040930	LOC101084707	testis	12.78	0.0	1	present_gold	12.78	0.0	1	3	1
ENSFCAG00000040930	LOC101084707	tip of external ear	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000040930	LOC101084707	uterus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000040930	LOC101084707	zone of skin	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000041358	H2AC7	adult mammalian kidney	37.745	4.362848839920999	2	present_gold	37.745	4.362848839920999	2	2	2
ENSFCAG00000041358	H2AC7	brain	96.09	0.0	1	present_gold	96.09	0.0	1	2	1
ENSFCAG00000041358	H2AC7	embryo	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000041358	H2AC7	embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000041358	H2AC7	eyeball of camera-type eye	31.53	0.0	1	present_gold	31.53	0.0	1	1	1
ENSFCAG00000041358	H2AC7	liver	56.58	28.383266196828025	2	present_gold	56.58	28.383266196828025	2	2	2
ENSFCAG00000041358	H2AC7	prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000041358	H2AC7	spleen	32.75	0.0	1	present_gold	32.75	0.0	1	1	1
ENSFCAG00000041358	H2AC7	testis	0.0	0.0	0	observed_zero	0.0	0.0	0	3	0
ENSFCAG00000041358	H2AC7	tip of external ear	45.65	0.0	1	present_gold	45.65	0.0	1	1	1
ENSFCAG00000041358	H2AC7	uterus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000041358	H2AC7	zone of skin	28.2	0.0	1	present_gold	28.2	0.0	1	1	1
ENSFCAG00000043084	LOC101086721	adult mammalian kidney	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000043084	LOC101086721	brain	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000043084	LOC101086721	embryo	27.85	0.0	1	present_gold	27.85	0.0	1	1	1
ENSFCAG00000043084	LOC101086721	embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043084	LOC101086721	eyeball of camera-type eye	22.66	0.0	1	present_gold	22.66	0.0	1	1	1
ENSFCAG00000043084	LOC101086721	liver	63.14	0.0	1	present_gold	63.14	0.0	1	2	1
ENSFCAG00000043084	LOC101086721	prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043084	LOC101086721	spleen	29.76	0.0	1	present_gold	29.76	0.0	1	1	1
ENSFCAG00000043084	LOC101086721	testis	28.33	23.023396795433985	2	present_gold	28.33	23.023396795433985	2	3	2
ENSFCAG00000043084	LOC101086721	tip of external ear	27.22	0.0	1	present_gold	27.22	0.0	1	1	1
ENSFCAG00000043084	LOC101086721	uterus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043084	LOC101086721	zone of skin	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043173	LOC101083265	adult mammalian kidney	29.04	0.0	1	present_gold	29.04	0.0	1	2	1
ENSFCAG00000043173	LOC101083265	brain	61.339999999999996	18.90803532892828	2	present_gold	61.339999999999996	18.90803532892828	2	2	2
ENSFCAG00000043173	LOC101083265	embryo	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043173	LOC101083265	embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000043173	LOC101083265	eyeball of camera-type eye	26.14	0.0	1	present_gold	26.14	0.0	1	1	1
ENSFCAG00000043173	LOC101083265	liver	36.92	0.0	1	present_gold	36.92	0.0	1	2	1
ENSFCAG00000043173	LOC101083265	prefrontal cortex	22.99	0.0	1	present_gold	22.99	0.0	1	1	1
ENSFCAG00000043173	LOC101083265	spleen	18.32	0.0	1	present_gold	18.32	0.0	1	1	1
