tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,mus_musculus,pan_troglodytes,sus_scrofa
metanephric renal vesicle,,,,,,92.965,,
metanephric ureteric bud,,,,,,97.27,,
middle frontal gyrus,,,,82.86,,,,
middle temporal gyrus,,,,79.605,,,,
migratory enteric neural crest cell,,,,,,93.84,,
minor salivary gland,,,,79.124,,,,
mitral valve,67.2,,,,,,,
molar tooth,,,,,,91.47,,
monocyte,,,,78.0,,,,
morula,,,,,,96.21,,
mouth mucosa,,,,81.19,,,,
mucosa of sigmoid colon,,,,82.81,,,,
mucosa of stomach,,,,80.16,,,,
mucosa of transverse colon,,,,94.76,,,,
mucosa of urinary bladder,64.165,,,,,,,
muscle layer of sigmoid colon,,,,80.39181818181818,,,,
muscle of arm,,,,,,74.98,,
myocardium of ventricle,,,,,,71.66,,
myometrium,,,,79.05363636363637,,,,
nasal cavity epithelium,,,,84.8325,,,,
nasal cavity mucosa,,,,76.94,,,,
neural tube,,,,,,96.32333333333334,,
nipple,,,,85.75999999999999,,,,
nose,74.36,,,,,,,
nucleus of brain,,,,,,79.24,,
olfactory epithelium,,,,,,77.72,,
olfactory tubercle,,,,,,83.6,,
omental fat pad,,,,82.56363636363636,,,,
omentum,,,,,,,,78.495
optic fissure,,,,,,85.47,,
oral cavity,,,,81.64666666666666,,,,
orbitofrontal cortex,,,,84.745,,,,
otic placode,,,,,,89.58,,
outer nuclear layer of retina,,,,,,66.245,,
outflow tract,,,,,,98.44,,
palpebral conjunctiva,,,,77.22999999999999,,,,
pancreatic ductal cell,,,,83.37,,,,
paneth cell,,,,,,78.46,,
paraflocculus,,,,85.66,,,,
paraventricular nucleus of hypothalamus,,,,,,78.56,,
parietal lobe,,,,89.19500000000001,,,,
parietal pleura,,,,72.45,,,,
periodontal ligament,,,,83.39,,,,
peripheral lymph node,,,,,,86.74,,
perirhinal cortex,,,,,,88.88,,
peritoneum,,,,81.9,,,,
pes,,,,,,97.31,,
pharyngeal arch 1,,,,,,98.71999999999998,,
pharyngeal arch 2,,,,,,97.59,,
pharyngeal mucosa,,,,90.69,,,,
pigmented layer of retina,,,,81.7175,,,,
pineal body,,,,,,76.42,,
piriform cortex,,,,,,80.86,,
placenta labyrinth,,,,,,89.56,,
pontine nuclear group,,,,,,79.57,,
popliteal artery,,,,77.93,,,,
postcentral gyrus,,,,89.69266666666667,,,,
presomitic mesoderm,,,,,,96.61,,
primary motor cortex,,,,,,86.02,,
primary oocyte,,,,,,93.37571428571428,,
primitive streak,,,,,,96.72,,
primordial germ cell in gonad,,,,85.5,,,,
proximal tubule,,,,,,81.425,,
psoas major muscle,,,,,,,,84.16
putamen,,,,88.38142857142857,,,,
pyloric antrum,,,,,,79.87,,
pylorus,,,,87.66333333333334,,,,
quadriceps femoris,,,,,,76.57111111111111,,
rectum,,,,73.4,,,,
renal corpuscle,,,,,,92.33,,
renal medulla collecting duct,,,,,,93.3,,
renal medulla interstitium,,,,,,92.74,,
respiratory primordium,,,,,,88.445,,
retinal neural layer,,,,,,74.54666666666667,,
retrosplenial region,,,,,,80.73,,
rhombomere 4,,,,,,98.62,,
right adrenal gland,,,,86.808,,,,
right adrenal gland cortex,,,,85.50666666666666,,,,
right atrium auricular region,,,,80.98818181818181,,,,
right cardiac atrium,54.49,,,,,,,
right colon,,,,,,75.92,,
right coronary artery,,,,81.28999999999999,,,,
right frontal lobe,,,,89.03,,,,
right hemisphere of cerebellum,,,,87.91555555555556,,,,
right kidney,,,,,,78.52,,
right lobe of thyroid gland,,,,78.18375,,,,
right lung lobe,,,,,,77.22,,
right ovary,,,,84.716,,,,
right testis,,,,87.2,,,,
right uterine tube,,,,82.2,,,,
saccule of membranous labyrinth,,,,,,80.9025,,
saphenous vein,,,,77.58,,,,
sciatic nerve,,,,,,79.9,,
secondary palatal shelf,,,,,,96.53,,
semi-lunar valve,,,,,,84.76,,
semimembranosus muscle,,,,,,,,63.724999999999994
seminiferous tubule of testis,,,,,,90.62,,
sexually immature organism,,,,,,86.02999999999999,,
sigmoid colon,,,,80.765,,,,
skin epidermis,,,,,,90.14999999999999,,
skin of back,,,,,,83.98545454545454,,
skin of external ear,,,,,,79.62,,
skin of hip,,,,74.7,,,,
skin of leg,,,,80.645,,,,
soleus muscle,,,,,,75.86,,
somite,,,,,,98.51,,
squamous epithelium,,,,87.39500000000001,,,,
sternocleidomastoid,,,,,,81.98,,
stria vascularis of cochlear duct,,,,,,71.105,,
striatum,,,,,,85.6704761904762,,
stroma of bone marrow,,,,,,74.21,,
stromal cell of endometrium,,,,88.03,,,,
subiculum,,,,,,80.08,,
submandibular gland,,,,,,79.035,,
