gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,endometrium,85.07,H2AX:VGNC:83807,variant,85.07
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,gluteus medius,58.73,H2AX:VGNC:83807,variant,51.254999999999995
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,gluteus medius,43.64,H2AX:VGNC:83807,variant,51.254999999999995
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,gluteus medius,47.99,H2AX:VGNC:83807,variant,51.254999999999995
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,gluteus medius,54.66,H2AX:VGNC:83807,variant,51.254999999999995
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,triceps brachii,73.72,H2AX:VGNC:83807,variant,72.81
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,triceps brachii,71.9,H2AX:VGNC:83807,variant,72.81
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,synovial membrane of synovial joint,70.35,H2AX:VGNC:83807,variant,70.35
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,epithelium of bronchus,85.54,H2AX:VGNC:83807,variant,86.11500000000001
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,epithelium of bronchus,86.69,H2AX:VGNC:83807,variant,86.11500000000001
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,cerebellum,61.5,H2AX:VGNC:83807,variant,82.748
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,cerebellum,84.26,H2AX:VGNC:83807,variant,82.748
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,cerebellum,82.05,H2AX:VGNC:83807,variant,82.748
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,cerebellum,93.43,H2AX:VGNC:83807,variant,82.748
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,cerebellum,92.5,H2AX:VGNC:83807,variant,82.748
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,liver,74.28,H2AX:VGNC:83807,variant,74.28
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,82.96,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,87.48,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,82.77,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,72.91,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,75.27,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,84.14,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,76.44,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,spinal cord,76.56,H2AX:VGNC:83807,variant,79.81625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,brainstem,77.78,H2AX:VGNC:83807,variant,72.425
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,brainstem,67.07,H2AX:VGNC:83807,variant,72.425
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,bone marrow,97.23,H2AX:VGNC:83807,variant,97.23
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,muscle tissue,67.26,H2AX:VGNC:83807,variant,64.99199999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,muscle tissue,67.27,H2AX:VGNC:83807,variant,64.99199999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,muscle tissue,63.18,H2AX:VGNC:83807,variant,64.99199999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,muscle tissue,63.26,H2AX:VGNC:83807,variant,64.99199999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,muscle tissue,63.99,H2AX:VGNC:83807,variant,64.99199999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,trophectoderm,73.49,H2AX:VGNC:83807,variant,71.66499999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,trophectoderm,69.84,H2AX:VGNC:83807,variant,71.66499999999999
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,oviduct epithelium,80.95,H2AX:VGNC:83807,variant,80.95
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,chorionic villus,66.87,H2AX:VGNC:83807,variant,66.87
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,articular cartilage of joint,59.4,H2AX:VGNC:83807,variant,59.4
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,zone of skin,58.95,H2AX:VGNC:109892,variant,58.95
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,adult mammalian kidney,55.15,H2AX:VGNC:109892,variant,58.974999999999994
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,adult mammalian kidney,62.8,H2AX:VGNC:109892,variant,58.974999999999994
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,prefrontal cortex,69.57,H2AX:VGNC:109892,variant,69.57
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,testis,72.24,H2AX:VGNC:109892,variant,74.68666666666667
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,testis,72.44,H2AX:VGNC:109892,variant,74.68666666666667
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,testis,79.38,H2AX:VGNC:109892,variant,74.68666666666667
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,embryo,83.84,H2AX:VGNC:109892,variant,83.84
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,brain,69.84,H2AX:VGNC:109892,variant,72.09
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,brain,74.34,H2AX:VGNC:109892,variant,72.09
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,uterus,61.42,H2AX:VGNC:109892,variant,61.42
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,spleen,76.46,H2AX:VGNC:109892,variant,76.46
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,liver,67.14,H2AX:VGNC:109892,variant,69.02000000000001
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,liver,70.9,H2AX:VGNC:109892,variant,69.02000000000001
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,embryonic head,75.81,H2AX:VGNC:109892,variant,75.81
