Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count	merged_gene_name	class
ENSG00000164508	H2AC1	cerebellum	0.0	0.0	0	observed_zero	0.0	0.0	0	3	0	H2AC1	clustered
ENSG00000164508	H2AC1	cerebral cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0	H2AC1	clustered
ENSG00000164508	H2AC1	colon	0.0	0.0	0	observed_zero	0.0	0.0	0	10	0	H2AC1	clustered
ENSG00000164508	H2AC1	cortex of kidney	30.56	0.0	1	present_gold	30.56	0.0	1	2	1	H2AC1	clustered
ENSG00000164508	H2AC1	dorsolateral prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	11	0	H2AC1	clustered
ENSG00000164508	H2AC1	frontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	5	0	H2AC1	clustered
ENSG00000164508	H2AC1	heart	0.0	0.0	0	observed_zero	0.0	0.0	0	10	0	H2AC1	clustered
ENSG00000164508	H2AC1	hindlimb stylopod muscle	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0	H2AC1	clustered
ENSG00000164508	H2AC1	liver	40.521428571428565	6.265927514665934	7	present_gold	40.521428571428565	6.265927514665934	7	11	7	H2AC1	clustered
ENSG00000164508	H2AC1	lung	24.64333333333333	6.2677055876399725	3	present_gold	24.64333333333333	6.2677055876399725	3	7	3	H2AC1	clustered
ENSG00000164508	H2AC1	lymph node	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0	H2AC1	clustered
ENSG00000164508	H2AC1	multicellular organism	23.16	0.0	1	present_gold	23.16	0.0	1	1	1	H2AC1	clustered
ENSG00000164508	H2AC1	pituitary gland	0.0	0.0	0	observed_zero	0.0	0.0	0	10	0	H2AC1	clustered
ENSG00000164508	H2AC1	prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	7	0	H2AC1	clustered
ENSG00000164508	H2AC1	primary visual cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0	H2AC1	clustered
ENSG00000164508	H2AC1	skeletal muscle tissue	0.0	0.0	0	observed_zero	0.0	0.0	0	4	0	H2AC1	clustered
ENSG00000164508	H2AC1	spleen	0.0	0.0	0	observed_zero	0.0	0.0	0	10	0	H2AC1	clustered
ENSG00000164508	H2AC1	superior frontal gyrus	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0	H2AC1	clustered
ENSG00000164508	H2AC1	temporal lobe	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0	H2AC1	clustered
ENSG00000164508	H2AC1	testis	74.38	5.548029251133105	8	present_gold	74.38	5.548029251133105	8	8	8	H2AC1	clustered
ENSG00000180573	H2AC6	Brodmann (1909) area 10	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0	H2AC6	clustered
ENSG00000180573	H2AC6	adult mammalian kidney	90.2846153846154	3.153964741360244	13	present_gold	90.2846153846154	3.153964741360244	13	15	13	H2AC6	clustered
ENSG00000180573	H2AC6	bone marrow	94.80857142857144	3.920861085061756	14	present_gold	94.80857142857144	3.920861085061756	14	14	14	H2AC6	clustered
ENSG00000180573	H2AC6	cerebellar cortex	76.26499999999999	1.138441917710341	2	present_gold	76.26499999999999	1.138441917710341	2	2	2	H2AC6	clustered
ENSG00000180573	H2AC6	cerebellum	75.08500000000001	3.968170960181878	14	present_gold	75.08500000000001	3.968170960181878	14	17	14	H2AC6	clustered
ENSG00000180573	H2AC6	cerebral cortex	78.676	2.7080628582890105	10	present_gold	78.676	2.7080628582890105	10	10	10	H2AC6	clustered
ENSG00000180573	H2AC6	colon	88.48333333333333	4.139805337850333	18	present_gold	88.48333333333333	4.139805337850333	18	18	18	H2AC6	clustered
ENSG00000180573	H2AC6	cortex of kidney	84.89	2.363401503483201	4	present_gold	84.89	2.363401503483201	4	5	4	H2AC6	clustered
ENSG00000180573	H2AC6	dorsolateral prefrontal cortex	76.8804347826087	4.920394919720155	23	present_gold	76.8804347826087	4.920394919720155	23	24	23	H2AC6	clustered
ENSG00000180573	H2AC6	frontal cortex	76.0392	4.822818954373744	25	present_gold	76.0392	4.822818954373744	25	26	25	H2AC6	clustered
ENSG00000180573	H2AC6	heart	85.49266666666668	3.5774900751917174	15	present_gold	85.49266666666668	3.5774900751917174	15	15	15	H2AC6	clustered
ENSG00000180573	H2AC6	hindlimb stylopod muscle	86.44	0.3394112549695456	2	present_gold	86.44	0.3394112549695456	2	2	2	H2AC6	clustered
ENSG00000180573	H2AC6	liver	90.51190476190476	3.9024308053412287	21	present_gold	90.51190476190476	3.9024308053412287	21	23	21	H2AC6	clustered
ENSG00000180573	H2AC6	lung	85.08947368421053	5.850555029400782	19	present_gold	85.08947368421053	5.850555029400782	19	22	19	H2AC6	clustered
ENSG00000180573	H2AC6	lymph node	84.04666666666667	7.981638094192614	6	present_gold	84.04666666666667	7.981638094192614	6	6	6	H2AC6	clustered
ENSG00000180573	H2AC6	multicellular organism	85.35	0.0	1	present_gold	85.35	0.0	1	1	1	H2AC6	clustered
ENSG00000180573	H2AC6	pituitary gland	87.45357142857144	2.752969325998765	14	present_gold	87.45357142857144	2.752969325998765	14	14	14	H2AC6	clustered
ENSG00000180573	H2AC6	prefrontal cortex	81.88111111111112	4.267418553541604	9	present_gold	81.88111111111112	4.267418553541604	9	10	9	H2AC6	clustered
ENSG00000180573	H2AC6	primary visual cortex	76.16166666666668	5.297721837419052	6	present_gold	76.16166666666668	5.297721837419052	6	9	6	H2AC6	clustered
ENSG00000180573	H2AC6	skeletal muscle tissue	81.73333333333333	1.0821390853305302	9	present_gold	81.73333333333333	1.0821390853305302	9	15	9	H2AC6	clustered
ENSG00000180573	H2AC6	spleen	90.17416666666666	1.725653806708072	12	present_gold	90.17416666666666	1.725653806708072	12	12	12	H2AC6	clustered
ENSG00000180573	H2AC6	superior frontal gyrus	72.13904761904762	4.377960603707971	21	present_gold	72.13904761904762	4.377960603707971	21	25	21	H2AC6	clustered
ENSG00000180573	H2AC6	temporal lobe	75.73571428571428	6.785629072146656	7	present_gold	75.73571428571428	6.785629072146656	7	8	7	H2AC6	clustered
ENSG00000180573	H2AC6	testis	81.27	11.643835994493683	13	present_gold	81.27	11.643835994493683	13	13	13	H2AC6	clustered
ENSG00000180573	H2AC6	thymus	93.245	5.231739672422549	4	present_gold	93.245	5.231739672422549	4	4	4	H2AC6	clustered
ENSG00000181218	H2AW	adult mammalian kidney	63.73181818181818	4.362276511597627	11	present_gold	63.73181818181818	4.362276511597627	11	11	11	H2AC25	clustered
ENSG00000181218	H2AW	bone marrow	78.26	0.0	1	present_gold	78.26	0.0	1	1	1	H2AC25	clustered
ENSG00000181218	H2AW	cerebellar cortex	94.02	0.3535533905932738	2	present_gold	94.02	0.3535533905932738	2	2	2	H2AC25	clustered
ENSG00000181218	H2AW	cerebellum	95.21999999999998	1.6992939710362134	3	present_gold	95.21999999999998	1.6992939710362134	3	3	3	H2AC25	clustered
ENSG00000181218	H2AW	cerebral cortex	83.08	0.0	1	present_gold	83.08	0.0	1	1	1	H2AC25	clustered
ENSG00000181218	H2AW	colon	72.10499999999999	2.2596226331944123	10	present_gold	72.10499999999999	2.2596226331944123	10	10	10	H2AC25	clustered
ENSG00000181218	H2AW	cortex of kidney	71.345	5.7346359954229005	2	present_gold	71.345	5.7346359954229005	2	2	2	H2AC25	clustered
