gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AC16,human,Homo sapiens,ENSG00000276903,heart left ventricle,32.938,11.504328315899196,5,present_gold,H2AC16:HGNC:4730,clustered,32.938,32.938
H2AC16,human,Homo sapiens,ENSG00000276903,hindlimb stylopod muscle,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,hypothalamus,37.285,1.4778531726798816,2,present_gold,H2AC16:HGNC:4730,clustered,37.285,37.285
H2AC16,human,Homo sapiens,ENSG00000276903,intestine,76.5075,27.67848306898339,4,present_gold,H2AC16:HGNC:4730,clustered,76.5075,76.5075
H2AC16,human,Homo sapiens,ENSG00000276903,islet of Langerhans,30.0,1.994041122946064,2,present_gold,H2AC16:HGNC:4730,clustered,30.0,30.0
H2AC16,human,Homo sapiens,ENSG00000276903,kidney,79.455,27.29668416981569,4,present_gold,H2AC16:HGNC:4730,clustered,79.455,79.455
H2AC16,human,Homo sapiens,ENSG00000276903,layer of synovial tissue,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,left adrenal gland,41.6075,5.013790149843398,4,present_gold,H2AC16:HGNC:4730,clustered,41.6075,41.6075
H2AC16,human,Homo sapiens,ENSG00000276903,left adrenal gland cortex,47.53,4.217570390639616,3,present_gold,H2AC16:HGNC:4730,clustered,47.53,47.53
H2AC16,human,Homo sapiens,ENSG00000276903,left coronary artery,41.945,17.93929903870271,2,present_gold,H2AC16:HGNC:4730,clustered,41.945,41.945
H2AC16,human,Homo sapiens,ENSG00000276903,left lobe of thyroid gland,29.605,0.6434671708797584,2,present_gold,H2AC16:HGNC:4730,clustered,29.605,29.605
H2AC16,human,Homo sapiens,ENSG00000276903,left ovary,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,left testis,25.3925,0.922943660252348,4,present_gold,H2AC16:HGNC:4730,clustered,25.3925,25.3925
H2AC16,human,Homo sapiens,ENSG00000276903,left uterine tube,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,leukocyte,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,liver,47.1025,19.07106915124133,8,present_gold,H2AC16:HGNC:4730,clustered,47.1025,47.1025
H2AC16,human,Homo sapiens,ENSG00000276903,lower esophagus,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,lower esophagus mucosa,48.79,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,48.79,48.79
H2AC16,human,Homo sapiens,ENSG00000276903,lower esophagus muscularis layer,22.16,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,22.16,22.16
H2AC16,human,Homo sapiens,ENSG00000276903,lung,59.970000000000006,24.64959364100485,7,present_gold,H2AC16:HGNC:4730,clustered,59.970000000000006,59.970000000000006
H2AC16,human,Homo sapiens,ENSG00000276903,lymph node,40.64,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,40.64,40.64
H2AC16,human,Homo sapiens,ENSG00000276903,male germ line stem cell (sensu Vertebrata) in testis,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,metanephric glomerulus,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,metanephros cortex,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,middle frontal gyrus,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,minor salivary gland,41.465,10.090413767532036,2,present_gold,H2AC16:HGNC:4730,clustered,41.465,41.465
H2AC16,human,Homo sapiens,ENSG00000276903,monocyte,58.27,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,58.27,58.27
H2AC16,human,Homo sapiens,ENSG00000276903,mucosa of stomach,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
