gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,cerebellum,33.3,0.0,1,present_gold,H2AB3:VGNC:83789,variant,33.3,33.3
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,chorionic villus,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,embryo,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,endometrium,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,epithelium of bronchus,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,gluteus medius,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,inner cell mass,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,leukocyte,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,liver,38.97,0.0,1,present_gold,H2AB3:VGNC:83789,variant,38.97,38.97
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,multicellular organism,20.71,0.0,1,present_gold,H2AB3:VGNC:83789,variant,20.71,20.71
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,muscle tissue,29.6,0.0,1,present_gold,H2AB3:VGNC:83789,variant,29.6,29.6
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,oviduct epithelium,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,prefrontal cortex,38.93,0.0,1,present_gold,H2AB3:VGNC:83789,variant,38.93,38.93
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,retina,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,spinal cord,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,synovial membrane of synovial joint,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,testis,75.44,18.627876959009583,4,present_gold,H2AB3:VGNC:83789,variant,75.44,75.44
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,triceps brachii,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,trophectoderm,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,trophoblast,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,zone of skin,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,adult mammalian kidney,29.0,8.20243866176395,2,present_gold,H2AB3:VGNC:109868,variant,29.0,29.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,brain,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,embryo,23.16,0.0,1,present_gold,H2AB3:VGNC:109868,variant,23.16,23.16
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,embryonic head,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,eyeball of camera-type eye,28.35,0.0,1,present_gold,H2AB3:VGNC:109868,variant,28.35,28.35
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,liver,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,prefrontal cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,spleen,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,testis,22.295,3.372899346259832,2,present_gold,H2AB3:VGNC:109868,variant,22.295,22.295
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,tip of external ear,31.39,0.0,1,present_gold,H2AB3:VGNC:109868,variant,31.39,31.39
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,uterus,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,felis_catus,Felis catus,ENSFCAG00000044965,zone of skin,0.0,0.0,0,observed_zero,H2AB3:VGNC:109868,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,Ammon's horn,35.932500000000005,2.9278476167086755,4,present_gold,H2AB3:HGNC:14455,variant,35.932500000000005,35.932500000000005
H2AB3,human,Homo sapiens,ENSG00000277745,Brodmann (1909) area 9,40.55166666666667,7.777741103088137,6,present_gold,H2AB3:HGNC:14455,variant,40.55166666666667,40.55166666666667
H2AB3,human,Homo sapiens,ENSG00000277745,C1 segment of cervical spinal cord,41.73,5.944364277756424,7,present_gold,H2AB3:HGNC:14455,variant,41.73,41.73
H2AB3,human,Homo sapiens,ENSG00000277745,adenohypophysis,0.0,0.0,0,observed_zero,H2AB3:HGNC:14455,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,adipose tissue,39.105,0.0636396103067866,2,present_gold,H2AB3:HGNC:14455,variant,39.105,39.105
H2AB3,human,Homo sapiens,ENSG00000277745,adrenal gland,38.78,0.9758073580374323,2,present_gold,H2AB3:HGNC:14455,variant,38.78,38.78
H2AB3,human,Homo sapiens,ENSG00000277745,adrenal tissue,0.0,0.0,0,observed_zero,H2AB3:HGNC:14455,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,adult mammalian kidney,48.8,11.877912274469786,5,present_gold,H2AB3:HGNC:14455,variant,48.8,48.8
H2AB3,human,Homo sapiens,ENSG00000277745,amygdala,42.522,10.804400492391975,5,present_gold,H2AB3:HGNC:14455,variant,42.522,42.522
H2AB3,human,Homo sapiens,ENSG00000277745,anterior cingulate cortex,37.61714285714286,6.702697751119109,7,present_gold,H2AB3:HGNC:14455,variant,37.61714285714286,37.61714285714286
H2AB3,human,Homo sapiens,ENSG00000277745,apex of heart,0.0,0.0,0,observed_zero,H2AB3:HGNC:14455,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,ascending aorta,41.64,5.421358224651825,9,present_gold,H2AB3:HGNC:14455,variant,41.64,41.64
H2AB3,human,Homo sapiens,ENSG00000277745,blood,48.315625,8.052621079499518,16,present_gold,H2AB3:HGNC:14455,variant,48.315625,48.315625
H2AB3,human,Homo sapiens,ENSG00000277745,body of pancreas,37.82,5.658371800135745,8,present_gold,H2AB3:HGNC:14455,variant,37.82,37.82
H2AB3,human,Homo sapiens,ENSG00000277745,body of stomach,36.925,2.4179143905440488,6,present_gold,H2AB3:HGNC:14455,variant,36.925,36.925
H2AB3,human,Homo sapiens,ENSG00000277745,body of uterus,43.77333333333333,4.365745449901238,3,present_gold,H2AB3:HGNC:14455,variant,43.77333333333333,43.77333333333333
H2AB3,human,Homo sapiens,ENSG00000277745,bone marrow,42.76,0.0,1,present_gold,H2AB3:HGNC:14455,variant,42.76,42.76
H2AB3,human,Homo sapiens,ENSG00000277745,bone marrow cell,0.0,0.0,0,observed_zero,H2AB3:HGNC:14455,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,brain,33.96,0.2351595203260998,3,present_gold,H2AB3:HGNC:14455,variant,33.96,33.96
H2AB3,human,Homo sapiens,ENSG00000277745,calcaneal tendon,0.0,0.0,0,observed_zero,H2AB3:HGNC:14455,variant,0.0,0.0
H2AB3,human,Homo sapiens,ENSG00000277745,caudate nucleus,32.95333333333333,3.968015456959142,6,present_gold,H2AB3:HGNC:14455,variant,32.95333333333333,32.95333333333333
H2AB3,human,Homo sapiens,ENSG00000277745,cerebellar cortex,38.38,1.244507934888322,2,present_gold,H2AB3:HGNC:14455,variant,38.38,38.38
