gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,81.945,felis_catus,Felis catus,35.96333333333333,45.98166666666666
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,bos_taurus,Bos taurus,58.612,felis_catus,Felis catus,12.78,45.832
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,90.93333333333334,equus_caballus,Equus caballus,45.89,45.04333333333334
H2AC21,clustered,cerebral cortex,high_confidence,5,65.45,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,sus_scrofa,Sus scrofa,92.69,macaca_mulatta,Macaca mulatta,47.75,44.94
H2AC25,clustered,colon,conservative,4,51.99000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,92.15,bos_taurus,Bos taurus,47.24,44.910000000000004
H2AC13,clustered,bone marrow,conservative,5,53.120000000000005,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,mus_musculus,Mus musculus,85.0,canis_lupus_familiaris,Canis lupus familiaris,40.5,44.5
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,human,Homo sapiens,90.28461538461539,equus_caballus,Equus caballus,45.89,44.39461538461539
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,mus_musculus,Mus musculus,67.905,canis_lupus_familiaris,Canis lupus familiaris,23.59,44.315
H2AC25,clustered,ovary,conservative,4,53.07333333333334,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.82333333333334,bos_taurus,Bos taurus,50.785,44.03833333333334
H2AC14,clustered,brain,high_confidence,5,60.47,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,felis_catus,Felis catus,76.52,macaca_mulatta,Macaca mulatta,32.519999999999996,44.0
