gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10,class_specific_low_level,class_specific_low_threshold
H2AZ1,thymus,variant,8,4,98.983125,99.00999999999999,0.575504760333629,98.34,99.5725,1.2325000000000017,human,Homo sapiens,99.5725,pan_troglodytes,Pan troglodytes,98.34,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AJ,metanephros cortex,variant,8,4,96.9825,97.04249999999999,0.6546054791501018,96.14,97.705,1.5649999999999977,human,Homo sapiens,97.705,bos_taurus,Bos taurus,96.14,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,frontal cortex,variant,8,6,96.9728144078144,97.25999999999999,0.7772342824037527,95.65714285714286,97.695,2.037857142857135,pan_troglodytes,Pan troglodytes,97.695,sus_scrofa,Sus scrofa,95.65714285714286,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,spleen,variant,8,7,97.28777551020407,96.928,0.8638517983365244,96.28142857142858,98.73666666666666,2.4552380952380872,human,Homo sapiens,98.73666666666666,sus_scrofa,Sus scrofa,96.28142857142858,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,blood,variant,8,5,96.87774358974359,96.47,1.097572217749493,95.69666666666666,98.18538461538462,2.4887179487179623,human,Homo sapiens,98.18538461538462,equus_caballus,Equus caballus,95.69666666666666,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,Ammon's horn,variant,8,4,96.84385416666667,97.25770833333334,1.1728128469446155,95.12,97.74,2.6199999999999903,macaca_mulatta,Macaca mulatta,97.74,bos_taurus,Bos taurus,95.12,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,cortex of kidney,variant,8,4,95.01650000000001,95.253,1.2756837382360906,93.47,96.09,2.6200000000000045,macaca_mulatta,Macaca mulatta,96.09,bos_taurus,Bos taurus,93.47,True,False,False,background,p10,True,True,p10,4.018499999999996
MACROH2A1,retina,variant,8,4,95.5175,95.245,1.230863518023011,94.39,97.19,2.799999999999997,human,Homo sapiens,97.19,bos_taurus,Bos taurus,94.39,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,lymph node,variant,8,5,97.04233333333335,97.16,1.2973089668832003,95.48,98.35166666666667,2.8716666666666697,human,Homo sapiens,98.35166666666667,pan_troglodytes,Pan troglodytes,95.48,True,False,False,background,p10,True,True,p10,4.018499999999996
MACROH2A1,kidney,variant,8,5,94.68533333333333,94.64666666666666,1.1868412792880985,92.97,95.87,2.9000000000000057,macaca_mulatta,Macaca mulatta,95.87,bos_taurus,Bos taurus,92.97,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ2,colon,variant,8,6,96.5062962962963,96.1238888888889,1.258149467394288,95.32,98.23,2.910000000000011,bos_taurus,Bos taurus,98.23,sus_scrofa,Sus scrofa,95.32,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AJ,thymus,variant,8,4,93.77125000000001,93.6525,1.3825241106999433,92.38,95.4,3.0200000000000102,bos_taurus,Bos taurus,95.4,pan_troglodytes,Pan troglodytes,92.38,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,kidney,variant,8,5,96.60933333333334,96.81,1.2739187136112369,95.09,98.24666666666668,3.1566666666666805,human,Homo sapiens,98.24666666666668,bos_taurus,Bos taurus,95.09,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AX,cerebellar cortex,variant,8,4,86.10425000000001,86.36500000000001,1.485143848251743,84.235,87.452,3.2169999999999987,pan_troglodytes,Pan troglodytes,87.452,mus_musculus,Mus musculus,84.235,True,False,False,background,p10,True,True,p10,4.018499999999996
H2AZ1,cerebral cortex,variant,8,6,97.48599999999999,97.57,1.1508423002305712,95.795,99.1,3.3049999999999926,macaca_mulatta,Macaca mulatta,99.1,bos_taurus,Bos taurus,95.795,True,False,False,background,p10,False,True,p10,4.018499999999996
H2AZ1,brain,variant,8,5,96.73949999999999,97.465,1.5222520323520752,94.69,98.1675,3.4775000000000063,macaca_mulatta,Macaca mulatta,98.1675,bos_taurus,Bos taurus,94.69,True,False,False,background,p10,False,True,p10,4.018499999999996
H2AZ2,uterus,variant,8,4,97.09666666666666,97.21333333333334,1.8319024719309371,95.1,98.86,3.760000000000005,felis_catus,Felis catus,98.86,human,Homo sapiens,95.1,True,False,False,background,p10,False,True,p10,4.018499999999996
H2AZ1,retina,variant,8,4,96.7925,97.24000000000001,1.6891097260588686,94.4,98.29,3.8900000000000006,human,Homo sapiens,98.29,equus_caballus,Equus caballus,94.4,True,False,False,background,p10,False,True,p10,4.018499999999996
H2AX,cortex of kidney,variant,8,4,80.281875,79.69125,1.83717329862119,78.9,82.845,3.944999999999993,pan_troglodytes,Pan troglodytes,82.845,mus_musculus,Mus musculus,78.9,True,False,False,background,p10,False,True,p10,4.018499999999996
