subset_label	rank_within_subset	gene_order	gene_number	canonical_gene_name	ensembl_gene_id	hpa_gene_label	bgee_gene_label	tissue_order	tissue_letter	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM	cell_mean_score	log_hpa	log_bgee	signed_diff_log	abs_diff_log	signed_diff_raw	abs_diff_raw	dominance_label	pair_status
bgee_higher	10	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	15	O	ovary	ovary	ovary	exact	False	0.0	59.99	0.0	1.785258633357701	-1.785258633357701	1.785258633357701	-59.99	59.99	bgee_higher	nonzero_any
bgee_higher	11	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	23	W	stomach	stomach	stomach	exact	False	0.1	64.11749999999999	0.04139268515822508	1.8136977187078285	-1.7723050335496033	1.7723050335496033	-64.0175	64.0175	bgee_higher	nonzero_any
bgee_higher	12	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	23	W	stomach	stomach	stomach	exact	False	0.1	61.88666666666666	0.04139268515822508	1.7985585753830409	-1.7571658902248157	1.7571658902248157	-61.78666666666666	61.78666666666666	bgee_higher	nonzero_any
bgee_higher	13	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	23	W	stomach	stomach	stomach	exact	False	0.1	61.16166666666667	0.04139268515822508	1.7935226501691917	-1.7521299650109665	1.7521299650109665	-61.06166666666667	61.06166666666667	bgee_higher	nonzero_any
bgee_higher	14	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	14	N	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0	55.17	0.0	1.7495044238761424	-1.7495044238761424	1.7495044238761424	-55.17	55.17	bgee_higher	nonzero_any
bgee_higher	15	8	8	H2AC13	ENSG00000196747	H2AC13	H2AC13	23	W	stomach	stomach	stomach	exact	False	0.2	65.09083333333334	0.07918124604762482	1.8201412278847526	-1.7409599818371277	1.7409599818371277	-64.89083333333333	64.89083333333333	bgee_higher	nonzero_any
bgee_higher	16	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	13	M	lung	lung	lung	exact	False	0.1	59.012857142857136	0.04139268515822508	1.778244303517286	-1.7368516183590608	1.7368516183590608	-58.912857142857135	58.912857142857135	bgee_higher	nonzero_any
bgee_higher	17	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	13	M	lung	lung	lung	exact	False	0.2	63.71428571428572	0.07918124604762482	1.8110001619985752	-1.7318189159509503	1.7318189159509503	-63.51428571428572	63.51428571428572	bgee_higher	nonzero_any
bgee_higher	18	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	11	K	kidney	kidney	kidney	exact	False	0.2	63.52	0.07918124604762482	1.809694358716924	-1.7305131126692992	1.7305131126692992	-63.32	63.32	bgee_higher	nonzero_any
bgee_higher	19	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	23	W	stomach	stomach	stomach	exact	False	0.1	58.10583333333333	0.04139268515822508	1.7716303448315087	-1.7302376596732836	1.7302376596732836	-58.00583333333333	58.00583333333333	bgee_higher	nonzero_any
bgee_higher	20	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	13	M	lung	lung	lung	exact	False	0.2	63.09666666666666	0.07918124604762482	1.8068354447151562	-1.7276541986675313	1.7276541986675313	-62.896666666666654	62.896666666666654	bgee_higher	nonzero_any
