species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	hypothalamus	H2AC12:hypothalamus	clustered	H2AC12:HGNC:13671	2	I	2:I	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	28
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	hypothalamus	H2AC12:hypothalamus	clustered	H2AC12:HGNC:13671	2	I	2:I	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	28
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	kidney	H2AC12:kidney	clustered	H2AC12:HGNC:13671	2	J	2:J	1	human	Homo sapiens	79.3925	28.541884281408848	4	present_gold	79.3925	29
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	kidney	H2AC12:kidney	clustered	H2AC12:HGNC:13671	2	J	2:J	2	bos_taurus	Bos taurus	44.4	0.0	1	present_gold	44.4	29
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	kidney	H2AC12:kidney	clustered	H2AC12:HGNC:13671	2	J	2:J	3	canis_lupus_familiaris	Canis lupus familiaris	18.66	0.0	1	present_gold	18.66	29
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	kidney	H2AC12:kidney	clustered	H2AC12:HGNC:13671	2	J	2:J	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	29
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	liver	H2AC12:liver	clustered	H2AC12:HGNC:13671	2	K	2:K	1	human	Homo sapiens	36.705	6.965043431307517	6	present_gold	36.705	30
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	liver	H2AC12:liver	clustered	H2AC12:HGNC:13671	2	K	2:K	2	bos_taurus	Bos taurus	43.20416666666667	5.720609405447724	12	present_gold	43.20416666666667	30
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	liver	H2AC12:liver	clustered	H2AC12:HGNC:13671	2	K	2:K	3	canis_lupus_familiaris	Canis lupus familiaris	38.55	9.743931444750624	2	present_gold	38.55	30
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	liver	H2AC12:liver	clustered	H2AC12:HGNC:13671	2	K	2:K	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	30
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lung	H2AC12:lung	clustered	H2AC12:HGNC:13671	2	L	2:L	1	human	Homo sapiens	63.09666666666666	26.973810755372824	6	present_gold	63.09666666666666	31
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lung	H2AC12:lung	clustered	H2AC12:HGNC:13671	2	L	2:L	2	bos_taurus	Bos taurus	46.19142857142857	2.2410966703188637	7	present_gold	46.19142857142857	31
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lung	H2AC12:lung	clustered	H2AC12:HGNC:13671	2	L	2:L	3	canis_lupus_familiaris	Canis lupus familiaris	29.44	2.3475945135393377	2	present_gold	29.44	31
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lung	H2AC12:lung	clustered	H2AC12:HGNC:13671	2	L	2:L	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	31
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lymph node	H2AC12:lymph node	clustered	H2AC12:HGNC:13671	2	M	2:M	1	human	Homo sapiens	54.265	4.065863991822648	2	present_gold	54.265	32
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lymph node	H2AC12:lymph node	clustered	H2AC12:HGNC:13671	2	M	2:M	2	bos_taurus	Bos taurus	55.58	1.7111984104714462	2	present_gold	55.58	32
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lymph node	H2AC12:lymph node	clustered	H2AC12:HGNC:13671	2	M	2:M	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	32
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	lymph node	H2AC12:lymph node	clustered	H2AC12:HGNC:13671	2	M	2:M	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	32
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	metanephros cortex	H2AC12:metanephros cortex	clustered	H2AC12:HGNC:13671	2	N	2:N	1	human	Homo sapiens	0.0	0.0	0	observed_zero	0.0	33
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	metanephros cortex	H2AC12:metanephros cortex	clustered	H2AC12:HGNC:13671	2	N	2:N	2	bos_taurus	Bos taurus	43.62	0.0	1	present_gold	43.62	33
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	metanephros cortex	H2AC12:metanephros cortex	clustered	H2AC12:HGNC:13671	2	N	2:N	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	33
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	metanephros cortex	H2AC12:metanephros cortex	clustered	H2AC12:HGNC:13671	2	N	2:N	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	33
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	ovary	H2AC12:ovary	clustered	H2AC12:HGNC:13671	2	O	2:O	1	human	Homo sapiens	31.425	1.1101576464628795	2	present_gold	31.425	34
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	ovary	H2AC12:ovary	clustered	H2AC12:HGNC:13671	2	O	2:O	2	bos_taurus	Bos taurus	50.0825	5.01574437812242	4	present_gold	50.0825	34
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	ovary	H2AC12:ovary	clustered	H2AC12:HGNC:13671	2	O	2:O	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	34
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	ovary	H2AC12:ovary	clustered	H2AC12:HGNC:13671	2	O	2:O	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	34
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	pituitary gland	H2AC12:pituitary gland	clustered	H2AC12:HGNC:13671	2	P	2:P	1	human	Homo sapiens	48.86	0.0	1	present_gold	48.86	35
